conflict_id	id_ep	gwnoloc	year	mon	location	sidea	sidea2nd	sideb	sideb2nd	mission	PKOdum	osvAll	osvAllLagDum	osvreb1	osvreb1Lag	osvreb1LagDum	osvgov	osvgovLag	osvgovLagDum	troopLag	policeLag	militaryobserversLag	brv_AllLag	brv_bLag	brv_aLag	incomp	epduration	lntpop	PKOatsomept_con	unscres_prearrivalLag	unscresLag	active_year	ceasefire	pocmandate	robustmandate
70.0	701	530	1993	12.0	"Ethiopia"	"Ethiopia"		"EPRDF"			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	36.0	10.88249	0.0	0.0	0.0	0	1.0	0.0	0.0
78.0	781	530	1991	1.0	"Ethiopia"	"Ethiopia"		"EPLF"				29.0		0.0			29.0									1	1.0	10.885247	0.0			1	0.0	0.0	0.0
78.0	781	530	1991	2.0	"Ethiopia"	"Ethiopia"		"EPLF"			0.0	4.0	1.0	0.0	0.0	0.0	4.0	29.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1	2.0	10.885247	0.0	0.0	0.0	1	0.0	0.0	0.0
78.0	781	530	1991	3.0	"Ethiopia"	"Ethiopia"		"EPLF"			0.0	1.0	1.0	0.0	0.0	0.0	1.0	4.0	1.0	0.0	0.0	0.0	1000.0	0.0	1000.0	1	3.0	10.885247	0.0	0.0	0.0	1	0.0	0.0	0.0
78.0	781	530	1991	4.0	"Ethiopia"	"Ethiopia"		"EPLF"			0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	3300.0	0.0	3300.0	1	4.0	10.885247	0.0	0.0	0.0	1	1.0	0.0	0.0
78.0	781	530	1991	5.0	"Ethiopia"	"Ethiopia"		"EPLF"			0.0	2.0	1.0	0.0	0.0	0.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1	5.0	10.885247	0.0	0.0	0.0	1	1.0	0.0	0.0
78.0	781	530	1991	6.0	"Ethiopia"	"Ethiopia"		"EPLF"			0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	2600.0	0.0	2600.0	1	6.0	10.885247	0.0	0.0	0.0	1	1.0	0.0	0.0
78.0	781	530	1991	7.0	"Ethiopia"	"Ethiopia"		"EPLF"			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	7.0	10.885247	0.0	0.0	0.0	1	1.0	0.0	0.0
78.0	781	530	1991	8.0	"Ethiopia"	"Ethiopia"		"EPLF"			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	8.0	10.885247	0.0	0.0	0.0	1	1.0	0.0	0.0
78.0	781	530	1991	9.0	"Ethiopia"	"Ethiopia"		"EPLF"			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	9.0	10.885247	0.0	0.0	0.0	1	1.0	0.0	0.0
78.0	781	530	1991	10.0	"Ethiopia"	"Ethiopia"		"EPLF"			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	10.0	10.885247	0.0	0.0	0.0	1	1.0	0.0	0.0
78.0	781	530	1991	11.0	"Ethiopia"	"Ethiopia"		"EPLF"			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	11.0	10.885247	0.0	0.0	0.0	1	1.0	0.0	0.0
78.0	781	530	1991	12.0	"Ethiopia"	"Ethiopia"		"EPLF"			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	12.0	10.885247	0.0	0.0	0.0	1	1.0	0.0	0.0
78.0	781	530	1992	1.0	"Ethiopia"	"Ethiopia"		"EPLF"			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	13.0	10.917213	0.0	0.0	0.0	0	1.0	0.0	0.0
78.0	781	530	1992	2.0	"Ethiopia"	"Ethiopia"		"EPLF"			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	14.0	10.917213	0.0	0.0	0.0	0	1.0	0.0	0.0
78.0	781	530	1992	3.0	"Ethiopia"	"Ethiopia"		"EPLF"			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	15.0	10.917213	0.0	0.0	0.0	0	1.0	0.0	0.0
78.0	781	530	1992	4.0	"Ethiopia"	"Ethiopia"		"EPLF"			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	16.0	10.917213	0.0	0.0	0.0	0	1.0	0.0	0.0
78.0	781	530	1992	5.0	"Ethiopia"	"Ethiopia"		"EPLF"			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	17.0	10.917213	0.0	0.0	0.0	0	1.0	0.0	0.0
78.0	781	530	1992	6.0	"Ethiopia"	"Ethiopia"		"EPLF"			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	18.0	10.917213	0.0	0.0	0.0	0	1.0	0.0	0.0
78.0	781	530	1992	7.0	"Ethiopia"	"Ethiopia"		"EPLF"			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	19.0	10.917213	0.0	0.0	0.0	0	1.0	0.0	0.0
78.0	781	530	1992	8.0	"Ethiopia"	"Ethiopia"		"EPLF"			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	20.0	10.917213	0.0	0.0	0.0	0	1.0	0.0	0.0
78.0	781	530	1992	9.0	"Ethiopia"	"Ethiopia"		"EPLF"			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	21.0	10.917213	0.0	0.0	0.0	0	1.0	0.0	0.0
